INDICATOR,EMPLOYMENT STATUS,COUNTRY CODE,PERSONNEL NUMBER,EMPLOYEE FIRSTNAME,EMPLOYEE LASTNAME,EMPLOYEE FULLNAME,EMPLOYEE FULLNAME (ENGLISH),EMPLOYEE FULLNAME (LOCAL LANGUAGE),EMAIL,LAN ID,COMPANY CODE,COMPANY DESCRIPTION,COST CENTER CODE,ORG UNIT DESCRIPTION,EMPLOYEE PAYSCALE,PERONNEL AREA DESCRIPTION,PERSONNEL SUBAREA DESCRIPTION,EMPLOYEE GROUP,CONTRACT TYPE,APPOINTING COMPANY,POSITION TITLE,HIGHEST LEVEL 1,2ND HIGHEST LEVEL 1,LOWEST LEVEL 1,HIGHEST LEVEL 2,LOWEST LEVEL 2,IMMEDIATE MANAGER NAME,IMMEDIATE MANAGER ID,SECONDARY MANAGER NAME,SECONDARY MANAGER ID,LAST HIRING DATE,ORIGINAL HIRING DATE,LOCAL SERVICE DATE,CONFIRMATION DATE,TERMINATION DATE,RETIREMENT DATE,EXPECTED RETURN DATE,LAST SERVICE DATE,DATE TYPE 1,DATE TYPE 2,DATE TYPE 3,DATE TYPE 4,DATE TYPE 5,GENDER,DOB,MARITAL STATUS,NATIONALITY,HANDPHONE_OLD,PERSONAL ID,PERSONAL ID 1,PERSONAL ID 2,PERSONAL ID 3,PERSONAL ID 4,PERSONAL ID 5,ACTION DATE,EMPLOYMENT STATUS CODE,PREFERRED NAME,ORG UNIT CODE,EMPLOYEE PAYSCALE CODE,PERSONNEL AREA CODE,PERSONNEL SUBAREA CODE,EMPLOYEE GROUP CODE,COUNTRY DESC,WORK CONTRACT,WORK CONTRACT DESCRI,JOB CODE,JOB DESCRIPTION,HANDPHONE,GROUP L2 ID,COUNTRY L2 ID,RESERVED1,RESERVED2,RESERVED3,RESERVED4,RESERVED5,RESERVED6,RESERVED7,RESERVED8,RESERVED9,RESERVED10,RESERVED11,RESERVED12,RESERVED13,RESERVED14,RESERVED15,RESERVED16,RESERVED17,RESERVED18,RESERVED19,RESERVED20,RESERVED21,RESERVED22,RESERVED23,RESERVED24,RESERVED25,RESERVED26,RESERVED27,RESERVED28,RESERVED29,RESERVED30
KGmKy,rB6Ut,4CNac,9QLGO,1IJsI,4jZsV,I0Q3V,aZhfb,cAvBS,idYB6,ttIos,hJLTK,Xpkdz,zSzXz,yGvTx,tjy69,cuCTL,QbGWu,W0G4c,WqlOO,SPPEY,zY5Ej,JhgLh,uTnvO,Xpb6n,VJIBQ,ryRD7,3zNNQ,Lwu4P,ugWoe,Eb3VZ,zncUc,8uJv5,KTjqQ,OKNxI,Jun-34,gVsqn,zTg7u,Ck10E,34uPF,hemnC,0Jzi5,iu7nS,4rcnf,at1Wg,yzBeH,opqMs,c7JTx,rsLPQ,UKiJf,aWFH1,MFOvl,qcDKr,KHnKV,63oZn,jtWbV,dVkJT,j0a1Y,OqedV,rEFMb,wIYpA,wRKq2,Pkf2E,zy79n,6E6ev,oVYQX,cKxOt,U7xHp,Fox1G,rbcFf,g5Apt,hqIky,BiXS6,froUQ,xsHg5,puU82,z9jC5,YNpTP,rwpo8,ys7UO,bxCZB,NwwPC,ullCS,1yttF,Ko4NW,jgjlS,uxab6,bhV4k,SHw4i,gYtkJ,jSHM1,sAwFt,ieUlv,hyBWK,grx8H,ABAQT,Z8gky,JMDTl,u21W0,BPuzb,sEnNb
6azuE,WPfSi,tvBbs,DC3uj,zvwgU,db0XY,UvHYe,DOIZp,1msgq,JX3Dd,fYXwE,Zzsaj,pRFnn,cj3hK,mhkQr,dmNPz,ioS6o,puVtv,8z6aL,Perqc,arvMi,zPlF2,jco38,QBHOg,IGzjb,n6Se9,OQLcA,Fq8Il,TMFPz,fH5SQ,Rw2T9,HsH5f,ELJJu,IDTkm,KMnaG,IQITq,q2jea,5b2Ka,2ClWA,dv2Zn,h7ooB,yyo4q,wQO0k,6wtkZ,0GM0W,UmEYD,tDmyK,kRH33,BI43o,aJaNR,LjmWZ,X7fJo,imzFA,kDf5n,8oPJU,EhYsD,yJVdf,SfLYi,mohDy,hkKdR,4lmQa,n9543,Bmexh,46TRo,ozc1e,Lzdkn,gHEsx,TVpcA,C4oNe,p7HIY,6EYrK,U33CI,6.40E+42,JWGYl,qav3E,UvhgH,QZ7jD,EXSOF,8a8Y1,cwgNv,I4v6c,mpLJR,dLU08,OfocF,Ppkmi,w78Yp,l45JU,WXc3o,fUyMV,ooWyv,spNGZ,V01AO,z8ui9,BGr6v,1WyrV,1iJY2,lD9cE,6pl0h,RmnqV,ISUS2,yy2UD
Mejnq,ns6B2,Lb5Ma,LrPFz,YzMyV,zVl6f,srMs8,FfGYY,B4ly5,PfU8i,5irEa,bynQW,m1NlF,Wohtd,DfHnn,3PJEz,ED3AI,uRFTn,kUdwZ,NWtak,h7Gqi,nx0fx,rLGek,hLy3w,AdFII,wDi8l,XuUyo,jYZYz,1pwfd,gVmBd,QYoGS,87ffg,g7T6c,BTNUI,j5fBX,wrjLA,Ryfhy,coVEz,LALRA,MFs2L,wDjQq,priHf,9.80E+65,rB90E,AvnUc,wiThN,v0uKZ,XkHTf,vshul,4dVUq,9nGL6,RnGTA,IZu01,uxSBr,XB6Ik,7dS2N,0UlwJ,IqxFR,rE6SM,LECp6,UBQlV,KU3of,qEIBj,SCqJf,UG34T,OeDUX,jMvCG,RYg9C,4wCFd,LzaGr,QtB5b,deTAt,eEj6e,G9qwK,MkjBy,gdsHG,vxWjx,a5tD1,Yliia,4aXG7,sMMGg,to0Jy,AjXJQ,aGmWK,yoOnl,3Q8kc,4h1hy,Jhvvf,gF0er,cf8dw,m0cR2,Y7btH,kLvZB,Vf2NE,hSA5C,C3hoe,EPciV,fnUbl,DctBo,Tm1Nk,Rjji9
yCC1L,7OYfn,wUYR8,lpO4L,Z8eE6,5D9we,SSGJ1,XNMB1,jxO4D,BBpIv,1.90E+74,4ZZ5B,xAUKD,8qcLO,UPCsr,7ycS6,8ftmE,Br6in,ETWzy,2lpWF,8X8Xf,hNeLo,m1yPb,RaOAf,eQcfx,msJXS,By2AL,NE6cK,g56qU,G2ULj,gCrMu,1vhYK,MoPKo,drxiI,z2i7q,hcLvE,ffnl2,rTVJL,vvoM2,X25kO,fNWSW,NW5zW,EteiM,W7FdA,3yjhR,Yl8ZE,GeOLp,Zzhdx,vUFM7,sYkPd,WdMmf,cPkOd,vcJx8,XBYUl,dwBmJ,4ZDUe,ZXSu5,gY2Tu,PiOY2,PMHbc,h4YtO,wQGft,1znyn,NDlw1,x1OSH,rylFh,TI7pf,Oherk,detJj,cM9mM,Fp3Vn,wq6dd,dmMLd,8p6sm,aD6ur,c3S1A,mO5iM,vSjKH,EyjMo,0Vi1R,kDfII,8wGu5,acIfr,aSdVI,WfmnC,ouhtF,XjPgG,N8xUJ,1Quo7,5lBBm,pmR2F,KQrxw,6SxTA,Z7Fz6,WrQbB,wmNBp,00kIs,Tq5Dk,KwpIe,pJ4Us,mgjae
3QDcx,kicUG,6jPnw,4qIbW,J0Vdh,kheR1,q5bZy,HHTZ5,wnbca,s73tg,l01H1,1mL0J,RXSk9,ShvcN,ODWrv,Yx1vQ,wDIq2,ei6sV,3Y4bm,GGqMW,UOa35,k5eng,z7kbg,e4Mto,utp3R,3Reyj,jbDgz,sENqE,QtpC3,uuNGw,eGyiO,71LmR,kXTqg,gQGns,3LIzu,npoCF,JtflO,Cr0y9,sG1AL,UfURk,ElaZg,DZ38Q,Gt9B1,EPjkw,8ZHsP,RfUc7,ZnjqR,lzqob,7gSNO,kC3Lp,4x6sC,6Jk7W,llAMl,nzG2r,Q11tm,Avl5X,WVhBX,mZOJi,9cSOb,XAKk9,OMjsg,0kBcv,XvbSE,TZMwn,FXuHB,vwBTy,rIQqA,q4mhJ,ZYBLZ,TulUT,WgiUo,ccnEe,aATK8,Re3Re,TGrub,48RFS,G91NK,paMuX,Lkldw,lePjl,nQ2Rm,hQk3q,wuUSK,o6yUT,PU2Vo,jTsrf,5.70E+56,r6EXX,qxmFa,960dm,AYFYz,Vd5NF,YjGmz,a0hPM,kca1g,SnHvM,eJMdj,8NXgk,VwS0O,XVQL8,rJ2rW
AxeHw,cQhoT,HgITb,1xbXp,Xj9VA,3EULu,h34rF,IIMXa,FSFd9,5cF54,OErbT,qolSo,ctsky,1ut9f,s9G5p,guqLb,IyAsa,y9dxu,WzQhn,7vNHH,DuZ95,lbgsD,a0588,Gl32d,4.00E+65,BSjIX,26cNb,tX8nG,Tm14r,IqBdo,CGcDS,KF9iN,Y14zt,E3jRh,HtTdk,mS33w,xkuEi,cslDS,MeabH,qNqdG,gUs5s,IS16q,qQsI6,3CN6x,umagw,t5Ni9,rppjB,3QCVI,rEUEO,ZJOE7,9j2XG,CQLBp,khS8M,yPPxq,reE3D,N2iPI,EiZKs,Teb99,eNi9E,NqIVJ,P5ZhY,049hi,7U0vO,y9YAp,1SSOG,pYj8Q,uQ7X5,OftsN,bH546,QUwJD,3eOpx,EpdKj,VJDva,k4dB9,Kpx0n,fjds0,fc7HY,CkrWC,xT2pA,eHv5k,QNJrY,arE7u,bq0sd,MmMQ4,GLtNc,kTyNQ,Q4XH8,zXhZW,HCQMW,QNo5S,Qmst9,YQhhV,3Xlla,iJKNc,QzxiG,z5T9c,vuoQu,H6v8r,Wyzz8,Z5Qdi,nIgUW
v7HFT,SjQWu,okvvL,xhX3X,IR1Br,ic3ZA,HPjnH,5MAXH,b5fL6,v6fXk,zeXuj,tA02E,zdd2v,o2Ofi,yCZtY,uJyJV,6C7nK,OXZaG,azfZf,7tB6O,iFtXH,Hk1UN,FklVO,eNIn9,TFlcp,TFNQr,IFzjm,DbzLg,Wtv7m,wk1QM,UWGwi,QZ9lr,QCrl9,kklZg,pUgoy,wdUJQ,1B878,OgAmk,98vKC,7KMnN,h5GoZ,xjIyq,Y6PxR,Vsug5,EAvds,6FnGL,ogpKP,4OOwd,XzgwP,jWwxx,IOzZf,tHdQq,oQQJj,nssWq,SVWqr,iOf1V,RbiaM,o63i9,6pjPY,XNN3A,LhIvG,lbYe4,5t1KF,7fI0z,Me9Vn,gxyIW,TN72R,yWnBc,L2Utn,q3sii,uqBwT,Xt419,PhRBy,6ZmXX,7j7MD,dfTcF,DAdac,7FtxA,6r0jz,PT5Jx,tk4ta,Xw01b,qPq0h,Aezzd,Os55F,RHzVT,7Yvth,RkYPJ,7ScNn,3369,QUrjC,oD59c,sJvUg,TiK6D,I7EgE,E8kWF,cjAoL,0ohGS,2HNED,vzOwi,E7GEY
F4GC1,s6yld,BilfQ,VTzRi,sNVpZ,lr4B7,s2atf,ASh1n,4.00E+29,YEF7x,Iyzsn,SuSUW,iRPYO,oNj2y,Wsshx,24sp1,glK8n,N6tCs,ESkNJ,zFlIo,df1cw,rE0ss,mJvnx,tCxsN,zvpeK,VTWCY,soNDa,Fjo7n,H1z4E,Dr87I,J0NYN,cM7r9,alaYe,wOhoQ,ve2FL,zB31C,RUqcl,Ibb8j,QcjG0,Is1MG,eqIJo,LEEd5,weHIN,q0mx1,TaYMU,1pDYy,MwEDG,N9mBz,Zxe4C,QVOLd,MMfJr,zkWIq,3vQNy,3AoBV,GcEzN,KcNEG,6LhGh,FuE1g,vix3W,Ecc8R,PwAFA,UXS6c,umhgU,JFs2W,7zByc,Y3Us3,HL6pD,FN5NJ,88bmr,t4yDD,cjGZy,x6Yws,Ha7Ow,a0DOj,h4Hns,aBJoc,dUSAH,CVl1d,pk0RW,oappN,qGWzJ,7rKzZ,bLVVd,Sh1QX,JS891,Iv8a7,Z4yNb,dsAMa,G0GW3,Qdh3S,Psxp9,lzivT,hvlYZ,f77GD,GmSN6,0nqhV,A6ITd,FAejH,LYUBy,seeDx,LRjBs
vlV9R,jAlWG,Hi21v,Df15N,6OMR7,rZtmo,EGdyN,CAtyL,GOKG4,Jqdbp,rCuMm,6XjwE,1ibWD,XTkqK,bQC78,7CfMi,FC5LE,5jVk8,K0Dtj,XhEXW,uuwPp,jlrh1,71IC8,QOzPg,PxYI7,3NjHC,V4K8x,VAqgA,GYZIT,xSbLU,otfY2,c3bS1,zlfV4,4S7FT,XeOGC,HYa2f,RowB1,kEWo9,vEYJr,GML3m,5EcoZ,E4i93,qVctY,y2rpT,2hbiM,7TilA,8G9uU,wsAQV,UanNH,NoIoQ,1qmj8,3Ehr7,mP5pV,9Y1ME,a1Bqy,CguvM,PlZuU,WKdNH,rQfCU,kXPmm,BMbGL,4w0kM,SjhBj,moVXk,pOoNy,LfImK,r78xA,1PYxA,WdiYz,CiSVt,PS0yA,Wa6Yi,7Ce0i,3wyfz,Zcg1U,tepCh,VxT9I,sYyW9,2ipyc,uI5Lx,JStBH,N3tYQ,s3Yaa,6HIWQ,KZtGF,MFU2y,8.90E+38,FUm5M,xHDOu,ACwvk,zKffY,8uRIg,gP11L,tm34z,QIybR,Bm37V,YiONU,jbNf6,CwcXC,m6wUb,DAZyN
e8UO8,NVSBd,W86D1,YfNYX,aoMTC,fiEUc,vzPIl,p79WG,9Mhnz,3J6Ye,SJEZg,6kYUK,H7jRu,qFPZe,b0Fel,QK0eG,LBiuk,gQA5j,iMsHu,Z8SQi,pJKQB,IoPzd,UHX7i,4vxz7,WhTTx,7hHL8,chuec,AYTwa,x7mmY,xCyDO,WSLCc,6DSrc,SGzih,bgD6z,Amurm,dUQ9X,lp4sy,Mar-97,S33SM,TiCTK,PEv38,Pmodq,Fkqnt,juPE4,2YuSg,O2nxQ,A4kQ8,6Tjdt,mvXn2,ydNW2,NfrQ7,RISeS,uqhdo,igZSv,SJOQo,viA9h,EBOxR,dzojg,y1FRL,JrliL,zIaOH,18VoN,AdnXX,8PJZ5,rhxnD,6ssNE,HTTX6,2Ql5q,TplBD,AWnhN,R71fA,j0eGb,IkNww,cqhsE,lmEIT,ka4On,WAbYE,oewlu,IrMbC,HJsMc,s2FGO,I4Gs3,jYVGQ,sveAn,PZh2g,XslIC,FC5Rd,WLcvi,Fla7S,roBTI,W3wQB,n7wYM,btRDt,99iJY,o2qnS,UWJed,vLlKM,qr5FU,LjxSL,cMETE,3X2dB
yNjE2,UGQq7,tZLdm,WraJX,dgy1w,F8HAr,vOoSP,3sVmU,NX6dF,ZfZQi,y9ftV,yGIyp,7nTxq,n9iJV,cCgyP,Mft9L,6D3EE,P4K7Z,C5baM,ea1Cp,KwGJp,6CwUp,stoSj,ycrw8,P5a6u,FI7oB,tKplb,sE680,T7LUa,mLIjd,Vw3T1,lcZpE,LGdev,kAsmQ,R6Bq5,PjJgk,mkOWT,5CkVw,v6n8w,H27Ml,p89gM,gFflJ,oMaug,k4MFF,46INu,MWfGP,OCCAU,0lih6,rlDUF,m3sBv,dZqEA,KWrgM,n8pwW,ZtD04,7vWth,WqNNU,8.00E+140,ET20X,hKMmd,n6KKy,HhSSK,mCtk0,xjJ5V,aWvTv,CVJfu,zAha6,NnOoq,W4quP,YOSDU,sfKFD,gmjXE,QkWe2,k40pf,iuSnI,hinUB,dk2Ot,natnn,aNatR,miIcB,sIJkX,nex9h,IAxzY,Kcfoj,dn9tc,rpH0D,6Li6o,dok0d,LgwhZ,N7vtK,zUFtN,AamiP,1OCWE,rCDJc,KDvZ4,aoKZW,d1j8w,p7fks,suaUL,JLNMm,6p3nx,XuHu4
BcBec,XpxI5,hoZIQ,8cNoI,g6m2O,GktWU,MbsL8,vr30p,x3Pqk,D7wbI,Prlcd,uovhi,Zq399,h6upc,V9V5I,JUVzE,RhPDS,1ifjR,3n7Ip,qNz5R,m5dlW,HqF31,WPoGc,XnXlt,T8rVA,ItRHC,PueCW,gWVMF,hDi0L,hDllG,iCeQt,k7Gah,U4amJ,azVgP,CeCwr,6fo1P,4kphX,lvrFD,OtDDk,Xxrbl,eDt3M,mbbHT,58yxz,Yz3b9,Gd2Bn,aOeXQ,8bY6V,E12vw,QuPfT,lkEBs,3.99E+03,BGGzA,G3SfT,8Fua9,Hlrre,rtPsV,AibIa,xmjtP,LKxsc,jxDvZ,Y1vbM,AgH6S,3zcIz,ZNMDc,RNqQM,whg6S,e2J9L,8zqD3,Wi2OH,aS7Gh,tcvBU,RloR8,RcLPc,x3tKw,sRkvE,fPGfR,1ME63,GjI94,YI4B3,KGCUn,9czvw,0jVgS,S2nKj,SGplu,m2egk,8priO,XXaqH,I7Epa,vRsDy,bzqxJ,nYpZO,btN5O,5bFpa,dPgqb,t8Uch,1Xr0M,wy71r,cK2HY,gtft6,ijsCF,Q5N4T
vz9Be,FRYCa,YTURP,YNy3K,gc8FX,L9hpR,8y0xf,xYP2c,am5f9,EaQHA,hJyh2,gApDo,2g1Et,0DiC4,UEBOk,Lb4MR,2D7Rf,eQZA7,PnJhn,GMjX2,hcpEs,42tXR,VQspC,649XC,UaWLm,iso87,TI5x9,Kx1CZ,BFnpq,UnBZO,lp9IX,mlEhs,5Olp6,JgatH,xferD,yJjll,B5k0N,HcCyu,5cGyw,sExjn,4Qmdz,s1Sb7,cMeqW,axuQA,Q1FS8,gClEf,9RIBn,yu28q,lEFGW,YPfSH,icvMf,aqvg6,jeHXF,bydzM,5FBqF,A2WGY,AMtKu,l9YPH,fkoGw,BvLNU,SUXUX,GCKWk,lgQTJ,mle2z,SDsk8,8gRrL,gBez4,7pcMX,g2Uqc,CNWqx,QjFCQ,GqCq7,Frxq9,lmDeq,qzzL6,XFNt8,JNe40,SnSMg,OB48C,i80FJ,BdXTk,cYyPq,GG25o,SjnTN,XhsvY,yHUzO,RK9Um,vi0j9,hUvS4,Fj76A,LP7CR,0.00E+00,qDPZ1,3T8mm,3LYiv,4vMtN,jMAfS,bvXdE,ItiYQ,B93ys,192as
qnmZs,2k38G,bE7rK,l0nJt,FgkLt,NtljP,4Udto,dSjNc,9011,W8G2O,KATiz,hPanB,uXa3y,yvjVF,CnmEd,DuRzH,apyxh,zjHC8,AWHrq,IWMEx,GLh1c,vI7LD,ji17Q,Ucycj,aKoKg,5lfi2,lQLrg,kBWJy,5yRqM,oGcTV,IFOJY,2BPNR,pjHGS,bBXFM,9fkGs,FNRvd,OKfME,XB4Ft,cvdd6,vk0a7,e5rHI,MLcFV,2e2FT,JmgYD,umbs6,4jpYg,5jSoE,YVTFs,ab1l9,Ou7gk,qsw6b,VSv4m,owjmY,QaHkL,yP1z8,cxeZ3,2wdOj,1PE4i,BbJi1,tX5kW,D2UGp,MSqfl,odgtR,Euk3o,iuvwx,mTEDh,bX5SK,CpgrG,rAQ9P,O1ENY,u6uAi,VV6kO,cyglN,77920,xADci,iaT5v,EpV0L,CsWFg,LaGzt,yrEOz,dq0GO,Qr4Bv,nY0bd,ilH4x,kp4Iz,Ih8ib,I4r4T,w6Md5,MjuNo,eLneI,bYLUL,5n9Fe,52XUP,0LK7k,gbPD9,13e2K,S5RaB,MGbOR,RdVf7,hdnio,ZgmHn
QIleO,cbqHZ,SMhq0,jqMTU,039Cs,Og5Sv,Bpqs7,BHqfT,VoFza,66lBm,fHfbg,rENeV,RONLI,VE5Es,Cd3ZS,Cjz08,bqiPZ,rpPbB,bmXUk,gJHgh,rMA6M,QeEvR,sVbuZ,NnqiW,WGzor,SsuaE,QNjC4,HcN1B,kD7cP,kAENX,Pr8IS,SctZx,V8Fmm,qVUl3,cZJEn,q8say,Aycl3,k2HHR,oURPa,pJzXr,wBLFx,PrcJD,BQ6Bq,IMmiJ,HEA93,3v2OH,RbxQ7,UCuar,uo0DI,NZI4Z,OFozv,U9xvI,E7p43,AdDt2,2rC5K,3.80E+91,Wg5VH,FR723,b6N9p,t9QWd,ds41s,C06f6,gS7Mi,rp6Wh,2mpf9,gDr0U,cvZ2y,gMbW9,2l7Hk,1oXvY,eUPLJ,NbFUZ,6JaBr,GkoZW,XFd73,88Lm8,Xm0dO,LXIYU,oROnA,tiUW3,RUxoo,H7LNW,rZfG5,tEf7d,ZZIcT,bT1lx,yn8dZ,dbsJe,I9cFh,28RLB,9nu3v,2IwSh,WDcaJ,jtsEA,Zhfcm,NZAk5,rZgDP,ZOuP8,5WMlh,J6IZx,CTOnA
ks50y,jnCvW,bhh7D,wEdMb,8Pb0P,7lA1x,0pcvS,uqhNa,Sf6S5,b210r,N5jT2,6DcKg,aRGdB,USopd,1AXxp,5RrOF,HryBy,1VJDN,VmDGi,TNoNN,hYFtZ,oh5DB,mKLro,JluCv,12hvM,Od4Mb,Lj3av,7eBGl,Us4fA,Vg9bQ,y4Dxa,URJLx,Svxiq,ywrIx,2.15E+02,XLV78,2ek6Z,dkAqR,BxunJ,oQzrb,gJ8VA,DB5ar,OYhjX,cnUcC,IzHTA,UkoeR,pUIrT,Encgs,YqLEX,sy0E2,QJy7a,8cDgb,VIuuT,oRElX,V8Fj5,pYSJe,uYEOW,7MIy8,mNmVR,qpyKN,NgCbL,pJv07,2oyNq,XTYgy,EPZkk,dn52b,LFQX1,H0Tmq,3rye4,HvwrM,Xj9Ba,9meVM,BhW1e,ZVRF0,VnULm,GWNqr,rEJma,I60X0,KFD6H,2kFuj,jDm2l,bOGuX,3Yzib,QAX7y,6ixkY,QPrhT,dlojq,YiTqZ,sIBvL,HCv2E,7ZaBP,GmgfZ,2S662,SEvjW,KojlQ,dLUvo,nguDf,QLZOM,lBmPI,Jk3JL,RrS2I
3Pu27,zIbal,PKscY,juaXe,HlaZf,HxOZs,sD1Pm,GN1Ca,UAUiz,rZkCO,Ni0NC,ljH6S,dzEUX,Kkdyk,Ecnyl,3QFcr,HjkDh,9rtDV,lo7OH,dFU4g,aKDUR,ekFka,5Z9WF,6KxtN,RcAmi,89kZw,bY07X,vu4wq,AHC01,msl7C,WAa1p,qPybI,2FqVb,BdwVC,qZHET,lZcEF,924,dVrPl,5RQMD,vxtMf,V5kcP,6L2Pg,LnYC6,JCbcc,koj4i,BQhsT,JGFFE,nVwWR,93i0s,vAqWP,8UtOi,ZOsea,2YAu5,k1TQX,yK8oZ,LlQfz,gO0Mr,wXohA,tV4HY,VZM6N,pcxUf,0z6fT,nSrZ1,yfJve,beKAj,ZofI2,TyNEo,YLX5P,xLKSM,wD1my,dqaS0,DWw7H,nugtW,Z1ZBZ,rYe5b,4Xn6H,UKyon,00CWk,UAKuq,sdqFT,fOI5i,OLAU5,4pd2T,3erJH,yAivM,JiP6O,0wXRI,DlDa6,oMrAO,EkYYo,VVzw4,lP915,r1qBX,sH284,p7Lyp,BbUXd,Hn4bs,iSvZ5,2JV5q,s15eV,SKbIm
CvcKc,k5qYu,OZMp7,Wrdwn,1ia1p,exptn,yEZpj,Q2Np8,OF0WL,3SBZZ,iImgL,JgBUP,Embo7,R575F,2XIHT,u5oVt,MuiST,3ipX1,xbwqA,OgNV7,EfXEz,kP47l,C6Nub,jCKDp,DtQ8S,cwWFG,wyIkB,sxKeF,X0idA,EX96Y,TjzfD,pswW4,On88E,BLVmp,oa3JZ,6CIFQ,B1nWG,ExHwE,fVGWA,nngR1,7rxgn,fxIme,lqcuR,tzON3,IA2LG,o5LMr,2LJuJ,1mVi5,hxiMD,BW80a,7Sedg,Hm2tB,plng3,ScsIW,zkWh5,6wYCm,t73Pq,bgwnV,afiOr,TAodS,CPBTI,aIISX,rUUqL,Ra7sa,whlYE,MpCy6,vjobk,QSaa6,C5wCK,9-Jan-05,1RIJ2,GcOOy,hGpg8,DCicF,IGou9,VfJOB,CeaR7,cWehj,U2DIQ,sSPUI,9ZCd3,NsZFh,y4kCO,q9bD4,hoawv,PRGNT,Eaxoo,B3g5J,g3lRQ,cNFo7,TJZw7,sBlog,5YHy0,NHA13,5CDbo,ybvz4,9fkbE,6yACp,3Vt3z,khsYU,JRVgh
8Z0uD,02auO,nl0Rm,bJAqF,jlsAq,PG8xS,RPZCA,hHIwU,cZYuo,ZuT9d,ODXmy,fjXaL,MysTo,vTMdP,xqvGm,aBZjL,BkWre,CF1Ez,JtyNm,vgvfP,U20G1,6.00E+13,V7NlE,A1VND,vzegw,jJrEG,ZKADi,tOomA,bdCdM,8GZst,UOWZg,CmCUO,VAKnX,4h9c9,uFFaP,NPeht,3LPqS,PSfA5,nwega,fq3Qd,4HvZT,nYedK,7Devq,nOpZj,vZeDZ,YlWur,fuSbi,08oi3,xr3he,wYLK8,Yy1P5,bmQlv,8jTiM,00Wrl,JlMcV,PY7n8,DlPt2,QjmIa,UFgUF,uwUiZ,MRkoB,9KwI1,iZsZI,he6lH,UPoDe,a3sfR,Ht65E,FksLG,s8YLS,zw5vw,qr1vb,LZjeL,7pB4A,trGXn,bxhxh,toxa0,Am34k,9BDQZ,EILCd,Qhh7o,m4ML0,elHfP,yPzZ5,wWBpE,hnrkV,RLsTF,M34NX,6skaA,0A2xG,Q2Ep8,CVqVI,YUiTH,I2s8N,6gvcf,DG4eg,MFqE9,KyrDq,bDVXD,XWHCj,gnvGY,KOkDF
zDngs,4b0e1,IyVvv,Ecy0t,stelh,fdblc,kEomN,2OfVY,noMRW,o85xW,2n7tn,X4ZxL,rNr8q,5H6sg,MaXiM,Bo2fZ,Ekvom,Jz20p,VNIyo,O94Sa,puwrm,SuVKP,6gn6U,5.00E+49,4cqUM,BXi05,XdYeI,aZl7Q,kC4Kq,7ZHuN,kXqS5,Dam6j,yjMCa,KBRGT,n04S6,FL72u,UDeT2,ymWTv,282au,lqXMh,2nw5i,rgdu0,qGQP7,upmel,1YzMe,tfRbY,eRBg3,IrWzc,faKYH,XTCJt,p0O64,zypag,LbmgQ,Js3Y1,Z3rVS,ACinL,xJm3L,eFLdC,ptJ2p,ptSdB,zyXQ8,oyyaw,5CfWA,YqSBR,589kB,5Ofq0,nISMb,xgBil,Zlnk9,Urt0B,9eaXp,g7XrP,LrTu9,vHOFm,WyMFQ,r3RcL,JaG7N,JSfME,n15Ca,B0hdC,cXA41,KNBLu,jOEOR,JrNI3,Kjvij,J04g9,pICbN,XVu90,yp4L6,CPtxK,tfwxl,HC21Q,NzyCD,RGKA5,JqwMY,g4yf2,h9cMN,EVn3r,Dg6r3,omhxh,tQLY6
jAXWm,0Rw7p,I0IgZ,NF6k6,m6g8c,3HFo8,na22f,RDYKA,FYUfL,m6HyT,2tK0J,sT4yo,IXhdl,pvq2K,Dj8d1,2rSOH,w3ORA,guojD,KioeV,aTpuR,hTuLU,eeOwx,S8FxU,nfeL5,se86d,WhltT,gOtld,P4UZk,QSVu7,NsjHl,xYtiS,AH4qd,GY9pm,OitdO,2y78B,6aHOL,2VdFS,XbElh,9D3nL,iHkrO,ONOgB,1vpAu,395M2,m7sai,Uab5h,U5Icw,Fw3fc,9YV8L,BHkRG,EiLPk,s6tS1,XKCd2,pKuJB,mgdhz,Rn8QB,wdhjy,vhedY,Yze1B,Ojzvs,8586,tErWH,jUOD6,0x1SO,Ds7hK,LWZKB,mBkR1,CVWRm,h4kDu,0Z3ZO,YiaFl,2MrE0,1XyTH,iRE2J,IdP5m,ddJ8T,IjHkq,JqLig,oCkCl,72KXr,FerxW,9vij5,W519m,Wkunt,iX17r,UFAHi,vwIuX,iEh69,5b6OT,UbsFZ,NJikv,hKboc,92EpX,M0wQH,EWLd5,d8nzK,UQp9n,ZFmZK,TW9af,dlpXj,Bg3Hd,kcsk0
